조사방식	채널	고객경험단계	서비스품질요소	고객경험요소
BU	상품	여신성	금리인하 조건의 적절성	우대 금리 재적용의 편의성
BU	상품	여신성	금리인하 조건의 적절성	우대 금리 조건의 공정성
BU	상품	여신성	상품관리 편의성	상환 스케줄 및 잔액 조회 용이성
BU	상품	여신성	상품관리 편의성	중도 상환 및 만기 연장의 간편성
BU	상품	여신성	상품관리 편의성	자동 이체일 변경의 편의성
BU	상품	여신성	상품관리 편의성	필요 서류(납입 증명서 등)의 즉시 발급
BU	상품	여신성	상품관리 편의성	대출 한도 및 가능 여부의 실시간 조회
BU	상품	여신성	대출상품 다양성	목적별 상품의 구비
BU	상품	여신성	대출상품 다양성	담보 형태별 옵션의 다양성
BU	상품	여신성	대출상품 다양성	모바일 전용 상품 운영
BU	상품	여신성	대출상품 다양성	비상금/소액 대출의 간편성
BU	상품	여신성	대출상품 다양성	라이프사이클/고객군별 맞춤 상품 구성
BU	상품	투자성	상품 가입 편리성	적합성 진단 절차의 간소화
BU	상품	투자성	상품 가입 편리성	비대면 가입의 서류/절차 자동화
BU	상품	투자성	상품 가입 편리성	가입 후 청약철회/취소 편의성
BU	상품	투자성	상품 가입 편리성	분할/자동 매수 설정 편의성
BU	상품	투자성	상품 가입 편리성	투자 관련 계좌 개설의 일괄 처리
BU	상품	투자성	수익률의 적정성	벤치마크 대비 성과
BU	상품	투자성	수익률의 적정성	수수료/보수 구조의 합리성
BU	상품	투자성	수익률의 적정성	실시간 수익률 조회 편의성
BU	상품	투자성	수익률의 적정성	목표 수익률 도달 알림 기능
BU	상품	투자성	수익률의 적정성	세금 및 거래 비용의 명확한 고지
BU	상품	투자성	자료 및 정보제공의 충분성	상품 운용 보고서의 정기적 제공
BU	상품	투자성	자료 및 정보제공의 충분성	시장 동향 및 전망 자료의 적시성
BU	상품	투자성	자료 및 정보제공의 충분성	투자 전문가와의 상담 기회
BU	상품	투자성	자료 및 정보제공의 충분성	투자 용어 및 개념 설명 자료
BU	상품	투자성	자료 및 정보제공의 충분성	상품 비교 분석 기능
BU	상품	투자성	위험정보의 명확성	위험 등급 고지의 명확성
BU	상품	투자성	위험정보의 명확성	예상 손실 가능성의 구체적 안내
BU	상품	투자성	위험정보의 명확성	투자자 성향과의 일치 여부 확인
BU	상품	투자성	위험정보의 명확성	불완전 판매 방지 녹취/서명 관리
BU	상품	투자성	위험정보의 명확성	투자 원금 손실 가능성 강조
BU	상품	투자성	사후관리의 지속성	정기적인 포트폴리오 점검
BU	상품	투자성	사후관리의 지속성	투자 손실 발생 시 선제적 대응
BU	상품	투자성	사후관리의 지속성	리밸런싱 및 추가 투자 추천
BU	상품	투자성	사후관리의 지속성	운용역 변경/중요 이슈 발생 알림
BU	상품	투자성	사후관리의 지속성	모바일/ARS를 통한 간편한 환매
BU	상품	투자성	투자성상품의 다양성	다양한 유형의 펀드 상품 구비
BU	상품	투자성	투자성상품의 다양성	목표/테마별 특화 상품
BU	상품	투자성	투자성상품의 다양성	위험 등급별 충분한 선택지
BU	상품	투자성	투자성상품의 다양성	해외 자산 투자 상품의 폭
BU	상품	투자성	투자성상품의 다양성	맞춤형 포트폴리오 추천 서비스
BU	상품	보장성	상품정보 이해용이성	복잡한 보험 약관의 순화 설명
BU	상품	보장성	상품정보 이해용이성	주요 내용 요약 자료 제공
BU	상품	보장성	상품정보 이해용이성	불완전 판매 방지 교육/안내
BU	상품	보장성	상품정보 이해용이성	모바일 기반 맞춤형 상품 정보 탐색
BU	상품	보장성	상품정보 이해용이성	의무 설명 사항의 완전한 이행
BU	상품	보장성	상품관리 편의성	모바일 앱을 통한 계약 정보 조회
BU	상품	보장성	상품관리 편의성	보험료 납입 일시 중지/변경 간편성
BU	상품	보장성	상품관리 편의성	보험금 청구의 비대면 간편화
BU	상품	보장성	상품관리 편의성	보험금 지급 심사 진행 안내
BU	상품	보장성	상품관리 편의성	납입 증명서 등 서류의 즉시 발급
BU	상품	보장성	보장내용 및 보험이율의 적정성	핵심 보장 범위의 명확성
BU	상품	보장성	보장내용 및 보험이율의 적정성	보험료의 합리성
BU	상품	보장성	보장내용 및 보험이율의 적정성	예상 보험금 및 환급금 안내
BU	상품	보장성	보장내용 및 보험이율의 적정성	공시이율 등 적용 이율의 투명성
BU	상품	보장성	보장내용 및 보험이율의 적정성	납입 기간 및 만기 시점의 적절성
BU	상품	보장성	상품가입 편의성	비대면 청약 및 서명 간편화
BU	상품	보장성	상품가입 편의성	고지 의무 사항의 입력 용이성
BU	상품	보장성	상품가입 편의성	가입 후 청약 철회/취소 편의성
BU	상품	보장성	상품가입 편의성	보험료 자동 이체 설정의 편의성
BU	상품	보장성	상품가입 편의성	영업점 방문 시 가입소요시간 최소화
BU	상품	보장성	가입 승인 및 처리 신속성	심사 및 승인 결과의 신속 통보
BU	상품	보장성	가입 승인 및 처리 신속성	심사 진행 상황의 투명한 안내
BU	상품	보장성	가입 승인 및 처리 신속성	승인 거절 시 사유의 명확한 고지
BU	상품	보장성	가입 승인 및 처리 신속성	추가 서류 요청의 최소화 및 자동화
BU	상품	보장성	가입 승인 및 처리 신속성	보험 효력 발생 시점의 즉시 알림
BU	상품	보장성	보장성상품의 다양성	생애 주기별 맞춤 상품 구비
BU	상품	보장성	보장성상품의 다양성	보장 목적별 상품 구색
BU	상품	보장성	보장성상품의 다양성	보험료 납부 방식의 유연성
BU	상품	보장성	보장성상품의 다양성	비갱신형/갱신형 상품의 선택 폭
BU	상품	보장성	보장성상품의 다양성	맞춤형 포트폴리오 추천 서비스
BU	상품	외화환전	환율의 적정성	환율 우대 혜택의 수준
BU	상품	외화환전	환율의 적정성	실시간 환율 정보의 정확성
BU	상품	외화환전	환율의 적정성	환율 우대 조건의 단순성
BU	상품	외화환전	환율의 적정성	목표 환율 도달 알림 기능
BU	상품	외화환전	환율의 적정성	외화 매매 스프레드의 적정성
BU	상품	외화환전	서비스정보 이해용이성	총 환전 비용의 명확한 사전 고지
BU	상품	외화환전	서비스정보 이해용이성	환전 유의사항의 명확한 안내
BU	상품	외화환전	서비스정보 이해용이성	외화 종류별 수령 가능 지점 안내
BU	상품	외화환전	서비스정보 이해용이성	환전 결과 상세 내역 조회
BU	상품	외화환전	서비스정보 이해용이성	환전 취소 및 변경 절차 안내
BU	상품	외화환전	환전신청의 편리성	비대면 신청 절차의 간소화
BU	상품	외화환전	환전신청의 편리성	외화 수령 채널의 다양성
BU	상품	외화환전	환전신청의 편리성	외화 종류 및 금액 입력의 직관성
BU	상품	외화환전	환전신청의 편리성	원화 출금 계좌 연동의 편의성
BU	상품	외화환전	환전신청의 편리성	재환전 신청의 간편성
BU	상품	외화환전	환전부가서비스의 다양성	환전 시 항공 마일리지 적립 혜택
BU	상품	외화환전	환전부가서비스의 다양성	외화 배송 서비스의 안정성
BU	상품	외화환전	환전부가서비스의 다양성	소액 환전 시 무인 환전기 이용
BU	상품	외화환전	환전부가서비스의 다양성	환전과 연계된 여행자 보험/혜택
BU	상품	외화환전	환전부가서비스의 다양성	외화 '선물하기' 기능 편의성
BU	상품	외화환전	환전서비스 기능의 다양성	24시간/주말 환전 신청
BU	상품	외화환전	환전서비스 기능의 다양성	자동 재환전/환전 기능
BU	상품	외화환전	환전서비스 기능의 다양성	외화 ATM 출금 서비스
BU	상품	외화환전	환전서비스 기능의 다양성	분할/나눠서 수령 기능
BU	상품	외화환전	환전서비스 기능의 다양성	외화 통장 기반의 간편 관리
BU	상품	외화환전	환전통화의 다양성	환전 가능 통화의 종류
BU	상품	외화환전	환전통화의 다양성	통화별 지폐 단위 선택의 폭
BU	상품	외화환전	환전통화의 다양성	외화 통장 개설 가능 통화
BU	상품	외화환전	환전통화의 다양성	모바일 환전 가능 통화 폭
BU	상품	외화환전	환전통화의 다양성	여행자 수표 등 기타 결제 수단의 구비
BU	상품	해외송금	환율의 적정성	송금 목적별 환율 우대 수준
BU	상품	해외송금	환율의 적정성	실시간 환율 정보의 정확성
BU	상품	해외송금	환율의 적정성	환율 변동에 대한 알림 기능
BU	상품	해외송금	환율의 적정성	환율 우대 조건의 단순성
BU	상품	해외송금	환율의 적정성	외화 계좌 보유 시 적용 환율
BU	상품	해외송금	서비스정보 이해용이성	총 소요 비용의 명확한 사전 고지
BU	상품	해외송금	서비스정보 이해용이성	송금 방식(예: SWIFT/전용망)의 쉬운 설명
BU	상품	해외송금	서비스정보 이해용이성	송금 관련 법규/한도 정보의 명확성
BU	상품	해외송금	서비스정보 이해용이성	송금 후 외화 계좌/원화 계좌 반영 안내
BU	상품	해외송금	서비스정보 이해용이성	유의사항 및 취소 절차의 명확성
BU	상품	해외송금	해외송금의 편의성	비대면 송금 신청 절차의 간소화
BU	상품	해외송금	해외송금의 편의성	수취인 정보의 간편 등록/관리
BU	상품	해외송금	해외송금의 편의성	송금 증빙 서류의 자동화/간편 제출
BU	상품	해외송금	해외송금의 편의성	송금 목적 변경 및 오류 수정 용이성
BU	상품	해외송금	해외송금의 편의성	외화 통장과의 자동 연동
BU	상품	해외송금	안내정보의 명확성	예상 송금 도착 시간의 구체적 고지
BU	상품	해외송금	안내정보의 명확성	실시간 송금 진행 상황 알림
BU	상품	해외송금	안내정보의 명확성	수수료 및 차감 내역의 투명한 안내
BU	상품	해외송금	안내정보의 명확성	송금 오류 발생 시 신속하고 명확한 안내
BU	상품	해외송금	안내정보의 명확성	고객 문의 채널의 접근성 및 전문성
BU	상품	해외송금	수수료의 적정성	송금 수수료의 경쟁력
BU	상품	해외송금	수수료의 적정성	전신료/중계 수수료의 투명성
BU	상품	해외송금	수수료의 적정성	소액 송금 시 수수료의 차별화
BU	상품	해외송금	수수료의 적정성	비대면/자동화 채널 수수료 우대
BU	상품	해외송금	수수료의 적정성	송금 방식(예: 전용망)에 따른 수수료 절감
BU	상품	해외송금	해외송금의 신속성	송금 도착 시간의 최소화
BU	상품	해외송금	해외송금의 신속성	24시간/주말 송금 서비스 제공
BU	상품	해외송금	해외송금의 신속성	자동 이체 방식의 정기 송금 지원
BU	상품	해외송금	해외송금의 신속성	서류 제출 송금의 신속 처리
BU	상품	해외송금	해외송금의 신속성	해외 파트너 은행과의 연계 안정성
TD	브랜드	고객중심	채널 접근 용이성	모바일 앱의 UI/UX 간편성
TD	브랜드	고객중심	채널 접근 용이성	비대면 상담 채널의 접근성
TD	브랜드	고객중심	채널 접근 용이성	영업점 방문 대기 시간 최소화
TD	브랜드	고객중심	채널 접근 용이성	모바일 앱의 다양한 OS 및 디바이스 호환성
TD	브랜드	고객중심	채널 접근 용이성	디지털 취약 계층을 위한 배려
TD	브랜드	고객중심	금융상품 및 서비스 다양성	니즈별 맞춤형 상품 구비
TD	브랜드	고객중심	금융상품 및 서비스 다양성	종합 자산 관리 서비스
TD	브랜드	고객중심	금융상품 및 서비스 다양성	혁신적인 금융 서비스 제공
TD	브랜드	고객중심	금융상품 및 서비스 다양성	개인 사업자를 위한 특화 서비스
TD	브랜드	고객중심	금융상품 및 서비스 다양성	해외 금융사 글로벌 서비스 연계
TD	브랜드	고객중심	고객 친화적 정보 제공	어려운 금융 용어의 순화 및 해설
TD	브랜드	고객중심	고객 친화적 정보 제공	상품 핵심 정보의 시각적 강조
TD	브랜드	고객중심	고객 친화적 정보 제공	금융 교육 및 지식 콘텐츠 제공
TD	브랜드	고객중심	고객 친화적 정보 제공	불완전 판매 방지를 위한 명확한 고지
TD	브랜드	고객중심	고객 친화적 정보 제공	고객 맞춤형 알림 및 가이드 제공
TD	브랜드	고객중심	비금융 컨텐츠/서비스 제공의 유용성	일상생활 연계 서비스 제공
TD	브랜드	고객중심	비금융 컨텐츠/서비스 제공의 유용성	제휴를 통한 외부 서비스 확장
TD	브랜드	고객중심	비금융 컨텐츠/서비스 제공의 유용성	지역 사회 연계 콘텐츠
TD	브랜드	고객중심	비금융 컨텐츠/서비스 제공의 유용성	건강/취미 등 라이프스타일 콘텐츠
TD	브랜드	고객중심	비금융 컨텐츠/서비스 제공의 유용성	비금융 서비스 이용의 간편성
TD	브랜드	고객중심	개인화 서비스 제공	고객 맞춤형 상품 추천의 정확도
TD	브랜드	고객중심	개인화 서비스 제공	개인별 맞춤형 금융 진단 및 목표 설정
TD	브랜드	고객중심	개인화 서비스 제공	AI 기반 소비 분석 및 코칭
TD	브랜드	고객중심	개인화 서비스 제공	개인별 금리/한도 맞춤 조회
TD	브랜드	고객중심	개인화 서비스 제공	직원 상담 시 개인화된 정보 활용
TD	브랜드	고객중심	고객중심적 이율/금리를 제공	우대 조건 없는 기본 금리 경쟁력
TD	브랜드	고객중심	고객중심적 이율/금리를 제공	주거래 고객 우대 혜택의 실질성
TD	브랜드	고객중심	고객중심적 이율/금리를 제공	금리 인하 요구권의 간편성
TD	브랜드	고객중심	고객중심적 이율/금리를 제공	가계 상황 고려 금리 재산정 제도
TD	브랜드	고객중심	고객중심적 이율/금리를 제공	금리 결정 과정의 투명성
TD	브랜드	전문성	직원의 금융지식 역량	복잡한 상품에 대한 깊이 있는 이해
TD	브랜드	전문성	직원의 금융지식 역량	최신 금융 시장 동향의 이해
TD	브랜드	전문성	직원의 금융지식 역량	금융/비금융 연계 지식 보유
TD	브랜드	전문성	직원의 금융지식 역량	상품 비교 및 분석 능력
TD	브랜드	전문성	직원의 금융지식 역량	오류 발생 시 원인 분석 및 설명
TD	브랜드	전문성	직원 고객 서비스 역량	고객 니즈에 맞는 맞춤형 상담
